opcode,signed,bitwidth,lut,dsp,ff,latency
15,0,28,5,1,0,0
11,0,31,32,0,0,0
15,0,28,5,1,0,0
11,0,31,32,0,0,0
15,0,28,5,1,0,0
11,0,31,32,0,0,0
15,0,28,5,1,0,0
11,0,31,32,0,0,0
15,0,28,5,1,0,0
11,0,31,32,0,0,0
15,0,28,5,1,0,0
11,0,31,32,0,0,0
15,0,64,49,4,165,1
13,0,18,1,0,0,0
15,0,64,49,4,165,1
13,0,22,23,0,0,0
13,0,24,25,0,0,0
11,0,17,18,0,0,0
13,0,14,14,0,0,0
13,1,15,1,0,0,0
11,0,31,32,0,0,0
13,0,31,32,0,0,0
11,1,31,32,0,0,0
13,0,36,37,0,0,0
15,1,41,49,2,165,1
15,1,42,49,2,165,1
15,1,44,49,2,165,1
15,1,43,49,2,165,1
15,1,45,49,2,165,1
15,1,45,49,2,165,1
15,0,46,49,2,165,1
15,0,46,49,2,165,1
15,0,42,49,2,165,1
13,0,38,39,0,0,0
11,0,32,33,0,0,0
15,1,40,51,2,169,1
11,0,44,45,0,0,0
11,0,44,45,0,0,0
11,0,45,46,0,0,0
11,0,40,41,0,0,0
11,0,41,42,0,0,0
13,0,36,37,0,0,0
11,0,32,33,0,0,0
15,1,39,51,2,169,1
11,0,41,42,0,0,0
11,0,41,42,0,0,0
11,0,38,39,0,0,0
11,0,39,40,0,0,0
11,0,12,13,0,0,0
11,0,44,45,0,0,0
11,0,44,45,0,0,0
11,0,45,46,0,0,0
11,0,38,39,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,44,45,0,0,0
11,0,44,45,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
13,0,38,39,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
24,0,11,12,0,0,0
24,0,11,12,0,0,0
28,0,1,1,0,0,0
11,0,46,47,0,0,0
11,0,46,47,0,0,0
11,0,46,47,0,0,0
11,0,39,40,0,0,0
11,0,39,40,0,0,0
11,0,44,45,0,0,0
11,0,44,45,0,0,0
11,0,44,45,0,0,0
11,0,44,45,0,0,0
11,0,43,44,0,0,0
11,0,43,44,0,0,0
11,0,46,47,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,16,17,0,0,0
11,0,46,47,0,0,0
11,0,46,47,0,0,0
11,0,45,46,0,0,0
11,0,45,46,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
26,0,1,1,0,0,0
24,0,11,12,0,0,0
24,0,11,12,0,0,0
27,0,1,1,0,0,0
27,0,12,13,0,0,0
27,0,12,13,0,0,0
